time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
625.99,2.2256042956265386e-7,2.414863822300273e-7,6.81814163006574e-9,1.3370690758191344e-8,6.730841646111691e-8,1.6164252685092797e-8,3.83878031005929e-8,1.643352730469897e-8,1.0915568455118319e-7,7.134828902708592e-8,8.205683625277145e-8,2.2781941049438695e-9,3.6883865525886766e-8,6.641533797717889e-7,0.000700466724657731,0.025 mg/kg
626.99,2.22117820137995e-7,2.409886695725175e-7,6.804553198162619e-9,1.3345155947963884e-8,6.717977786104207e-8,1.6133324300033334e-8,3.831446739303233e-8,1.640134246879023e-8,1.0893330941683276e-7,7.120334017794851e-8,8.189384227254651e-8,2.2735575791007642e-9,3.680875350008279e-8,6.627936789313553e-7,0.0006974252191991239,0.025 mg/kg
627.99,2.2167008038261672e-7,2.404854929179806e-7,6.790807605474822e-9,1.3319308205925418e-8,6.704955914693111e-8,1.6102029078540498e-8,3.824080289403377e-8,1.6368775433558126e-8,1.0870845895866232e-7,7.105676557633881e-8,8.172895380511734e-8,2.2688691492888405e-9,3.673280352750981e-8,6.614189487790623e-7,0.0006944164681520477,0.025 mg/kg
628.99,2.212173656705346e-7,2.399770060657178e-7,6.776909544882829e-9,1.3293156176739455e-8,6.691780398092064e-8,1.6070377168830738e-8,3.816654846317801e-8,1.6335837728398706e-8,1.0848120880525917e-7,7.090861291736965e-8,8.156222684201532e-8,2.264130343662942e-9,3.6656040595086e-8,6.600296062653923e-7,0.0006914433376213863,0.025 mg/kg
629.99,2.2075984449321616e-7,2.3946338457170816e-7,6.762864142864452e-9,1.3266709478401316e-8,6.678456091396297e-8,1.603837995471354e-8,3.809142025582241e-8,1.6302541792788004e-8,1.0825164156665128e-7,7.075893519242967e-8,8.139372273664066e-8,2.2593428588323085e-9,3.6578492290844297e-8,6.586261290130311e-7,0.000688507230577424,0.025 mg/kg
630.99,2.2029780281719238e-7,2.3894500399410157e-7,6.748680430177681e-9,1.3239986597433406e-8,6.664992303595793e-8,1.600606011056616e-8,3.801509152201714e-8,1.6268908184929403e-8,1.080199026704073e-7,7.060783354987831e-8,8.12235512304287e-8,2.254509922406227e-9,3.6500209769946576e-8,6.572095530963034e-7,0.0006855955296618068,0.025 mg/kg
631.99,2.1983141090918215e-7,2.384220581621108e-7,6.734363654820501e-9,1.321299773451771e-8,6.651394180800477e-8,1.5973429856317287e-8,3.7937752160648724e-8,1.623494937350364e-8,1.0778607654620155e-7,7.045536385414107e-8,8.105177549951322e-8,2.2496333203231238e-9,3.6421221782386877e-8,6.557804092106342e-7,0.0006827067142207331,0.025 mg/kg
632.99,2.1936080060944536e-7,2.3789467824333644e-7,6.719917799001976e-9,1.3185750270602148e-8,6.637665452718669e-8,1.5940497839141256e-8,3.785969194871918e-8,1.620067515461418e-8,1.0755022723339221e-7,7.03015666055517e-8,8.087844308966487e-8,2.244714349704531e-9,3.6341549515095446e-8,6.54339053456854e-7,0.0006798433589879566,0.025 mg/kg
633.99,2.1888610375824197e-7,2.3736299540537894e-7,6.70534684493116e-9,1.3158251586634643e-8,6.623809849058687e-8,1.590727270621239e-8,3.778120066323053e-8,1.6166095324364482e-8,1.073124187713375e-7,7.014648230444397e-8,8.070360154665429e-8,2.2397543076719815e-9,3.6261214155002515e-8,6.528858419357923e-7,0.0006770080386972313,0.025 mg/kg
634.99,2.1840745219583193e-7,2.368271408158389e-7,6.690654774817111e-9,1.3130509063563117e-8,6.609831099528849e-8,1.587376310470502e-8,3.7702568081184784e-8,1.6131219678858017e-8,1.0707271519939563e-7,6.999015145115165e-8,8.052729841625212e-8,2.2347544913470073e-9,3.6180236889038316e-8,6.514211307482791e-7,0.0006742033280823112,0.025 mg/kg
635.99,2.1792498056451826e-7,2.362872499378764e-7,6.6758456632499694e-9,1.3102530284358555e-8,6.595733035105714e-8,1.5839977935899188e-8,3.7624049702758605e-8,1.6096058208744883e-8,1.0683118204647906e-7,6.983261565413027e-8,8.0349582382953e-8,2.229716233147371e-9,3.609863945335478e-8,6.499452878349093e-7,0.0006714314936188592,0.025 mg/kg
636.99,2.174389166364959e-7,2.3574360368045845e-7,6.6609266677142265e-9,1.3074329627368908e-8,6.581522892301635e-8,1.580593466638973e-8,3.754466390433442e-8,1.606062735144643e-8,1.065879345277395e-7,6.9673953747425e-8,8.017054019020221e-8,2.2246420508664536e-9,3.601646199138607e-8,6.484590825063146e-7,0.0006686839023444458,0.025 mg/kg
637.99,2.1694942568059997e-7,2.351963945423368e-7,6.64590291954153e-9,1.3045917188307562e-8,6.567205758690288e-8,1.5771645426010092e-8,3.746392275385556e-8,1.60249391514456e-8,1.0634305512658757e-7,6.951422094171992e-8,7.999023376692854e-8,2.2195337088840414e-9,3.5933732819193036e-8,6.469630417200854e-7,0.000665956987326981,0.025 mg/kg
