time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
264.99,0.001494859806895815,0.0017970179745079834,5.406945095288314e-5,0.00011098332722910573,0.00045550345748553373,0.00012860550876886843,0.0003005471997348413,0.00012452719057583198,0.0008586150922372331,0.0005497767379041874,0.0006305994266721298,1.7405026793862102e-5,0.0002828430380283899,0.004923420041896807,0.04073620273763281,2.4mg/kg
265.99,0.0014858972320113747,0.0017862686902335675,5.374601097251396e-5,0.00011032951771414667,0.00045280300970577746,0.0001278660495548361,0.0002990658335999186,0.00012378202024457136,0.0008534765320568709,0.0005464868808327009,0.0006268273385733365,1.730084078222672e-5,0.0002811498539783347,0.004893990159084218,0.040468060015014407,2.4mg/kg
266.99,0.0014769644008235,0.0017755550526552663,5.3423644015183745e-5,0.0001096777664604402,0.0004501112044754271,0.0001271287399296018,0.0002975873398656005,0.00012303932160598514,0.0008483550219222883,0.0005432079385858202,0.0006230677608717411,1.719700050793256e-5,0.00027946228841593644,0.004864657785730198,0.040200815330363224,2.4mg/kg
267.99,0.0014680612386532444,0.0017648769711015276,5.310234733785275e-5,0.00010902807023094221,0.0004474280267641392,0.00012639357823491815,0.0002961117246311505,0.00012229908839430205,0.0008432505182302964,0.0005399398832858937,0.0006193206617738474,1.7093505086873493e-5,0.00027778032699320545,0.00483542267617858,0.039934459773909345,2.4mg/kg
268.99,0.0014591876708216626,0.0017542343549007999,5.278211819748119e-5,0.00010838042578860864,0.0004447534615415705,0.0001256605628125375,0.00029463899399583216,0.00012156131434375079,0.0008381629773777069,0.0005366826870552708,0.0006155860094861587,1.6990353634943392e-5,0.00027610395536215195,0.004806284584773201,0.03966898443588287,2.4mg/kg
269.99,0.0014503436226409763,0.0017436271133707422,5.2462953850670236e-5,0.00010773482989702481,0.0004420874937807286,0.00012492969200446626,0.00029316915405848236,0.00012082599318784571,0.0008330923557551979,0.0005334363220125405,0.0006118637722115201,1.6887545267909295e-5,0.0002744331591727643,0.00477724326583719,0.03940438025261473,2.4mg/kg
270.99,0.0014415290198289236,0.0017330551562724059,5.214485156074822e-5,0.00010709127955107383,0.00043943010958489697,0.00012420096431053855,0.00029170221106689385,0.00012009311869699672,0.0008280386097796083,0.0005302007603247571,0.0006081539183315797,1.678507910160785e-5,0.0002727679240835949,0.004748298476573208,0.03914061865440302,2.4mg/kg
271.99,0.0014327437961741863,0.0017225184030465852,5.182780888546015e-5,0.00010644977206938868,0.0004367812964314994,0.0001234743785840947,0.00029023817210549864,0.00011936268530863902,0.0008230017005903507,0.0005269759771660738,0.0006044564196085184,1.6682954347901172e-5,0.0002711082373098428,0.004719449999770184,0.03887771990792816,2.4mg/kg
272.99,0.0014239878884646836,0.001712016776759333,5.151182349724885e-5,0.00010581030474988245,0.00043414104161259225,0.00012274993371797895,0.00028877704449950926,0.00011863468770586279,0.000817981591220253,0.0005237619488954152,0.0006007712490548843,1.658117025745399e-5,0.00026945408669084984,0.004690697626679739,0.03861573683025794,2.4mg/kg
273.99,0.0014152612334883356,0.0017015502004767015,5.11968930685571e-5,0.0001051728748904682,0.00043150933242023235,0.0001220276286050356,0.0002873188355741382,0.00011790912057175821,0.0008129782447021438,0.0005205586518717064,0.000597098379683226,1.647972608093104e-5,0.0002678054600659583,0.004662041148553497,0.03835472223846017,2.4mg/kg
