time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
194.99,0.00229327608779012,0.002697453094373368,8.269266318596295e-5,0.0001661768405846705,0.0006842633782254414,0.0001900608307837814,0.00040903247798036615,0.00019141448083804806,0.0013048956034280904,0.0008347548038550723,0.0009623769414552547,2.6473400859219295e-5,0.0004300906422137762,0.007350295541489207,0.03423090927180449,1.4 mg/kg
195.99,0.002287505339789273,0.0026905221762528317,8.24844986889833e-5,0.00016577470927877044,0.0006825906662922082,0.00018962123529927573,0.00040828335294208084,0.00019093752373435901,0.001301570566803057,0.0008326293656506705,0.0009599587674980369,2.6405903375511565e-5,0.0004289943911768376,0.007331503690037388,0.03413708607895578,1.4 mg/kg
196.99,0.0022817429110005144,0.002683603165520532,8.227662866542428e-5,0.00016537287815226472,0.0006809195220909293,0.00018918181145344702,0.00040753354328343404,0.00019046118127301692,0.0012982507937337395,0.0008305072721777994,0.0009575439736280899,2.6338513300506694e-5,0.00042789988289949037,0.0073127391272164565,0.03404372054674856,1.4 mg/kg
197.99,0.002275989062099459,0.0026766962037011975,8.20690628255129e-5,0.00016497137145406453,0.0006792500401839541,0.00018874258666587153,0.0004067831104367285,0.00018998547632337825,0.0012949364308314107,0.0008283886176647041,0.000955132672708664,2.627123361084663e-5,0.0004268071656238509,0.007294008611228416,0.03395080524058271,1.4 mg/kg
198.99,0.0022702440084040798,0.0026698015381650996,8.186180918430078e-5,0.00016457020964694057,0.0006775822991660648,0.00018830358434053182,0.0004060321030168439,0.0001895104279772499,0.001291627597999064,0.0008262734787584565,0.0009527249578769485,2.620406672468797e-5,0.0004257162786169834,0.007275312256011635,0.03385833353602774,1.4 mg/kg
199.99,0.0022645079608840948,0.0026629194348761504,8.165487559421043e-5,0.00016416941283014654,0.0006759163760714777,0.00018786482749878362,0.0004052805681947939,0.0001890360549674555,0.0012883244125721995,0.0008241619304033294,0.0009503209203742182,2.6137015006069027e-5,0.00042462726027815256,0.0072566492069823406,0.03376629888181493,1.4 mg/kg
200.99,0.002258781131366372,0.0026560501604881203,8.144826994024404e-5,0.00016376900118090812,0.000674252348285703,0.00018742633924353358,0.0004045285533556324,0.0001885623760963765,0.0012850269923942992,0.0008220540479028454,0.0009479206518266041,2.6070080830440278e-5,0.000423540149185598,0.007238018641990244,0.03367469471364558,1.4 mg/kg
201.99,0.002253063752077951,0.0026491939804345137,8.124200088860693e-5,0.00016336899678176016,0.0006725903021003428,0.00018698814464664028,0.00040377611193262095,0.00018808941179008332,0.0012817354674783963,0.0008199499154371082,0.0009455242531538569,2.6003266855418552e-5,0.00042245498830174253,0.00721942134749091,0.033583514199591394,1.4 mg/kg
202.99,0.002247356017863122,0.0026423510816554973,8.103607570055374e-5,0.0001629694184507192,0.000670930309982631,0.0001865502653002686,0.00040302329064241895,0.00018761717935381766,0.0012784499459015221,0.0008178496024142853,0.0009431318088589886,2.5936575269877592e-5,0.00042137181312537717,0.007200858991569985,0.03349275119257717,1.4 mg/kg
203.99,0.0022416581053856174,0.00263552162847729,8.08305009489382e-5,0.00016257028337441563,0.00066927243719547,0.00018611272107954535,0.00040227013209353233,0.00018714569460308897,0.0012751705250022252,0.0008157531707704399,0.0009407433953427093,2.587000802541157e-5,0.0004202906554155496,0.007182332932994493,0.033402399841120936,1.4 mg/kg
204.99,0.002235970191309172,0.0026287057852261105,8.062528320661402e-5,0.00016217160873947996,0.0006676167490017625,0.00018567553185959727,0.00040151667889446716,0.00018667497335340667,0.0012718973021190547,0.0008136606824416348,0.0009383590890057289,2.580356707361467e-5,0.00041921154693130744,0.007163844530531456,0.033312454293740704,1.4 mg/kg
205.99,0.002230292463255527,0.0026219037715022268,8.042042946933593e-5,0.00016177341283194914,0.000665963315833112,0.00018523871865362576,0.0004007629752404887,0.0001862050322883666,0.0012686303810987678,0.0008115722042858379,0.0009359789713145095,2.5737254522305983e-5,0.0004181345218254274,0.00714539377320452,0.033222908558785284,1.4 mg/kg
206.99,0.002224625103215712,0.002615115844966572,8.021594653863048e-5,0.00016137571362904332,0.0006643122076373222,0.00018480230209146816,0.0004000090638578709,0.00018573588754627722,0.0012653698626588802,0.0008094878018666754,0.0009336031216512712,2.5671072438447648e-5,0.00041705961346021834,0.0071269791385153965,0.033133756846603704,1.4 mg/kg
207.99,0.002218968260385854,0.002608342150778181,8.001183996874998e-5,0.0001609785260216261,0.0006626634806229573,0.000184366299557343,0.0003992549822036014,0.00018526755258844698,0.001262115828210438,0.0008074075270007662,0.000931231604650623,2.560502245284179e-5,0.0004159868483840656,0.007108601439326579,0.033044993890533246,1.4 mg/kg
208.99,0.00221332208330719,0.002601582831420342,7.980811528889069e-5,0.00016058186483727517,0.0006610171907101935,0.00018393072836935562,0.0003985007676336654,0.0001848000408233675,0.0012588683587775628,0.0008053314312222394,0.0009288644846493256,2.553910618732623e-5,0.00041491625300644786,0.007090261549441114,0.03295661443351561,1.4 mg/kg
209.99,0.002207686722593449,0.0025948380380167286,7.960477810885166e-5,0.0001601857451313728,0.0006593733949360922,0.00018349560608022864,0.0003977464580850784,0.00018433336582036864,0.0012556275366059676,0.0008032595670436714,0.0009265018269613785,2.547332529477007e-5,0.00041384785420203214,0.00707196017090387,0.03286861319566498,1.4 mg/kg
210.99,0.0022020623344298166,0.0025881079584784443,7.940183426990504e-5,0.00015979018277924322,0.0006577321549524585,0.0001830609510452419,0.00039699209400747724,0.0001838675415141509,0.0012523934473223223,0.0008011919904332174,0.0009241436998756455,2.540768153770731e-5,0.00041278168037979724,0.0070536972597551794,0.03278098492241312,1.4 mg/kg
211.99,0.0021964490497121698,0.0025813926984668716,7.919928865506442e-5,0.0001593951912312943,0.0006560935215389618,0.00018262677905059072,0.00039623771038590377,0.00018340257976223883,0.0012491661618128072,0.0007991287468306028,0.0009217901603509638,2.534217634488752e-5,0.000411717754757467,0.007035474381863906,0.03269372478594864,1.4 mg/kg
