time_hr,lung,liver,heart,muscle,skin,adipose,bone,brain,kidney,sm_int,la_int,pancreas,thymus,spleen,other,marrow,choroid,icb,retina,cornea,ah,vh,plasma,ln,Dose
1512.9951003469037,0.008729851253957503,0.011199476665513013,0.004119173544980418,0.004804431646970921,0.004892156479383804,0.00713361564322544,0.031113469523061998,0.0007667546858164139,0.019239904166332835,0.009021813003755775,0.0041857516152791225,0.0084448931125117,0.012062076620804147,0.0130838813575009,0.03355784725322841,0.005029719245359747,0.001405837539261039,0.0012136103598106565,0.003130874674495702,0.0006964105275880559,0.0013015311854034676,0.003026725893139724,0.32772109506598046,0.005301016550375037,3.2
1513.0,0.008786171771755748,0.011243771086334377,0.004139680609153394,0.004805551848040815,0.00489353707244018,0.007134190659220356,0.03111369897242911,0.0007690019375408101,0.01936495651573672,0.009068403347835543,0.004203454530903832,0.008488366561534313,0.01213588248364312,0.013138785820413548,0.03355761550507742,0.0050379845023115445,0.0014136110153064841,0.0012185188532414072,0.0031316273225250046,0.0006964120547682563,0.0013064964080456028,0.0030267797977833254,0.32914333647161664,0.005328530146594028,3.2
1513.0017364809366,0.008806109106551111,0.011259518575831448,0.004146965139006519,0.00480595057604463,0.004894028367021796,0.007134395423714981,0.031113781165382756,0.0007698004138349799,0.019409236481804416,0.009084939732360504,0.004209740212436588,0.008503809510604235,0.012162072804077337,0.01315829927527266,0.03355753360031405,0.005040925182796501,0.0014163495772974934,0.0012202628289832299,0.0031318951971672265,0.0006964125997963525,0.0013082591284255814,0.0030267991599425706,0.3288735827015921,0.005338323080208888,3.2
1513.0034729618733,0.008825989463397632,0.011275272418154025,0.004154245696950086,0.00480634988985843,0.004894520239909444,0.007134600489427661,0.031113863705334074,0.0007705985683083464,0.01945338210831934,0.009101456409888083,0.0042160199614044505,0.00851924463705182,0.012188227285211886,0.01317781548010176,0.03355745178911436,0.005043869640176861,0.001419065124426801,0.0012220068361270024,0.003132163481931746,0.000696413146393157,0.0013100207011679467,0.00302681862906727,0.32864271829703834,0.005348133006332124,3.2
1513.007389116779,0.008870555719611711,0.011310779724868188,0.004170629626327516,0.004807252686793106,0.004895631237362019,0.007135063959548272,0.031114051512220988,0.0007723955526240588,0.019552249362263647,0.00913860244642446,0.004230148749176336,0.00855397943541924,0.012246995882495986,0.013221780919876103,0.03355726775281177,0.005050523934736173,0.0014250693470394017,0.0012259349686602069,0.0031327702530823225,0.0006964143870448312,0.001313980749996771,0.003026863078606447,0.3282395356607531,0.005370340296009693,3.2
1513.0143468241902,0.008948978097186745,0.011373709015539335,0.004199628261460225,0.004808861077861831,0.004897606876225433,0.007135888839334274,0.031114389927748426,0.0007755791504855256,0.019725926001770578,0.009204322087570323,0.004255161069460541,0.008615451571945388,0.012350785450442863,0.01329964789938028,0.03355694220562965,0.0050623709370956485,0.0014353913475782306,0.001232891051808018,0.003133852260133951,0.0006964166161999811,0.001320967409685545,0.0030269437504618925,0.3277214143280352,0.005410045289281569,3.2
1513.0251327298422,0.009068906136437781,0.011470860667309377,0.004244354780556596,0.004811359335278292,0.00490066828703529,0.007137168125489093,0.031114924419584605,0.0007804967081069322,0.019990861058283054,0.009305638853467317,0.004293756728237434,0.008710244492666934,0.012510365133230849,0.013419753351736332,0.03355644080332859,0.0050807559722097426,0.0014506482873260494,0.0012436186343478888,0.003135535474664342,0.0006964201311214672,0.0013316817851000283,0.0030270728494261106,0.3271539044968956,0.005472148878881755,3.2
1513.0359186354942,0.009187293882316204,0.011567638496899433,0.004288879008348614,0.004813859242463058,0.0049037264273994715,0.007138446666536854,0.031115467497298092,0.000785399156019263,0.020251764611554302,0.009406449590465228,0.004332194428992782,0.008804589180237124,0.012668735117630078,0.013539294892754097,0.03355594251997701,0.005099139253628112,0.0014652194058721007,0.0012542932374595707,0.003137222064576753,0.0006964237046959758,0.0013422858845135294,0.0030272059471611284,0.32671530016915423,0.00553476007395699,3.2
1513.0554020071604,0.009396443053491495,0.011741377641390414,0.004368717035415223,0.0048183723323216385,0.004909238164462832,0.007140751809856026,0.031116470602636746,0.0007942125681962743,0.020710762153727448,0.00958705534447537,0.004401168127021392,0.008973701334914116,0.012951165771149454,0.013753577314756299,0.03355505185244247,0.005132291489548932,0.0014895308651686652,0.0012734122797693152,0.003140271565493988,0.0006964303479459818,0.0013611065212994172,0.0030274591893414593,0.3261160051823764,0.005649275919550979,3.2
1513.0748853788266,0.009601096353571576,0.011914124042334913,0.004448003209691452,0.004822879543336713,0.004914738214773839,0.007143052382201879,0.03111749114648065,0.0008029874115592783,0.02115803838916821,0.009766249150703277,0.004469712631900811,0.009141585378460023,0.013230123675817319,0.013966316329435563,0.03355416991931605,0.005165371418109172,0.0015120086923106442,0.0012923713649605404,0.0031433194580525498,0.0006964371760545584,0.0013796089783851162,0.0030277250303957733,0.3256178557633956,0.005764988629829419,3.2
1513.1103097025486,0.009964545323383846,0.012226333525828973,0.004591106086405688,0.004831060573387467,0.004924717149123627,0.0071472266936774016,0.031119374033787353,0.0008188691943731501,0.02194878649695032,0.010089348558506643,0.004593520638510421,0.009444481734599865,0.013730629130758046,0.014350176319791741,0.033552582570853355,0.005225363322168686,0.0015495182319174392,0.0013265241660236921,0.0031488529611081806,0.0006964499530210922,0.0014126382138208429,0.003028233060035407,0.3248331247775338,0.005977356161436093,3.2
1513.1639608485764,0.01048987192789306,0.012693773754846552,0.004804767049754453,0.004843408173260559,0.004939775200750853,0.007153526487264511,0.031122279231604495,0.0008427150374135498,0.023081483319032856,0.010570770446068925,0.004778650363237872,0.00989637647751396,0.014469037171420679,0.01492300006883119,0.03355022181321706,0.005315765101256665,0.0015974578887772773,0.0013772546975767907,0.00315719764574653,0.0006964703818606816,0.0014608779647837134,0.0030290758965479028,0.3238450932783783,0.00630295061937864,3.2
