time_hr,lung,liver,heart,muscle,skin,adipose,bone,brain,kidney,sm_int,la_int,pancreas,thymus,spleen,other,marrow,choroid,icb,retina,cornea,ah,vh,plasma,Dose
1513.644141766507,0.0001883178345959794,0.000277082230707064,1.7195073144159675e-5,3.7107967748769666e-5,5.4166709455506064e-5,3.297232432327775e-5,5.855366068791837e-5,3.324830096180265e-5,0.00021019412770438518,0.00012759416184442854,0.00015245103865223534,4.275313465229311e-6,6.765680356704502e-5,0.0005511665771718084,8.30976739515284e-5,3.035216469535756e-6,1.6309021237688587e-6,1.642793190883882e-6,7.396869794211944e-8,3.637772038831296e-5,0.0003828887696375242,1.7540082879852566e-5,0.0010697994311334644,0.525
1513.8698891688905,0.0002156903907171982,0.000314846469808439,1.9951004465408667e-5,4.2997198988636477e-5,6.268974359069948e-5,3.8211127186465363e-5,6.765616839288106e-5,3.853584938121505e-5,0.00024030375473788065,0.00014686975665965767,0.00017513018077995173,4.964693159615649e-6,7.823115349991535e-5,0.0006079307509027673,9.583714264253282e-5,3.5248966829993125e-6,1.89417360464498e-6,1.9079494861790764e-6,8.590982804691104e-8,4.418717317195891e-5,0.0004303494796824866,2.050620796490209e-5,0.0010777839580069844,0.525
1514.095636571274,0.0002403715771967416,0.000348097766792462,2.2534581637502906e-5,4.8495382580630054e-5,7.061805868388827e-5,4.310632667357325e-5,7.611894504422466e-5,4.347607656415167e-5,0.000267305958306718,0.00016450944840922427,0.00019576052409595583,5.612692655957694e-6,8.804031655169189e-5,0.0006532559591761331,0.00010762126161888596,3.985279761389182e-6,2.141750003292983e-6,2.1572987366421477e-6,9.714310438620154e-8,5.2758617981841344e-5,0.00047090506598795905,2.3779738393439302e-5,0.0010812357084698603,0.525
1514.3213839736577,0.00026249152668605545,0.00037718388925012347,2.4943989024959242e-5,5.360129277615449e-5,7.795351115654612e-5,4.7656317314727614e-5,8.394458237436002e-5,4.8067427423451835e-5,0.00029137283138996124,0.00018055986932852917,0.00021441722228955124,6.218668467839147e-6,9.709043105273803e-5,0.000689157140865842,0.00011846159486483182,4.415892471349959e-6,2.373370247943433e-6,2.3905780993779566e-6,1.0765622497068292e-7,6.193876680256139e-5,0.0005052853919735585,2.7306053145211067e-5,0.0010828891151295173,0.525
1514.5471313760413,0.0002822845499214883,0.0004025897096185088,2.7187346327279388e-5,5.8335211760512205e-5,8.47293788050036e-5,5.187857549061154e-5,9.116936500457039e-5,5.23276059979301e-5,0.00031279041785542113,0.00019514074559904014,0.000231261827975182,6.78444034563226e-6,0.00010542684200537955,0.0007176184018715465,0.00012841758060635032,4.818011181631229e-6,2.5897127845034384e-6,2.6084710146511936e-6,1.174794816969144e-7,7.159317209941938e-5,0.0005343644768114017,3.1036965020303683e-5,0.0010836212169957843,0.525
1514.921937292103,0.00031064806254986244,0.00043786671602745524,3.05741450689193e-5,6.54422249496682e-5,9.485253733927206e-5,5.822485378438679e-5,0.00010195583038626666,5.8729959596680545e-5,0.0003432642467698885,0.0002164539161914317,0.00025568548361362166,7.641703931066845e-6,0.00011783640237644475,0.000752475136340078,0.000143180616341354,5.427442918456191e-6,2.917685543436239e-6,2.9387960188294624e-6,1.3237859610220486e-7,8.838521369628818e-5,0.0005730026446766055,3.758046708739213e-5,0.0010833689532038279,0.525
1515.5216274707236,0.000346342130510804,0.0004800465411991181,3.521229179728522e-5,7.508721447698148e-5,0.00010848277245391727,6.685377139164547e-5,0.00011646382527591366,6.743305763323356e-5,0.0003811774341048626,0.0002441551633391461,0.00028701287472230827,8.822700665526735e-6,0.0001344491517014646,0.0007864405749638017,0.00016281992094469044,6.2672793875425864e-6,3.3698536906006637e-6,3.3942129265987893e-6,1.5293575633668146e-7,0.00011641720488276251,0.0006157519692062564,4.865904566969149e-5,0.0010811327805841338,0.525
1516.1213176493443,0.00037294087782975056,0.000509699084844565,3.903600392005894e-5,8.295101418230777e-5,0.00011949014812457284,7.390530154440515e-5,0.00012816639112994587,7.45431011250185e-5,0.0004090636788531518,0.00026560227374420177,0.00031088584962405406,9.803457959691515e-6,0.00014777518686857153,0.0008063140309089145,0.00017845456116331965,6.9649110612730404e-6,3.745643039740965e-6,3.7727106209044955e-6,1.7003695793026196e-7,0.0001448220825378851,0.0006429702609322568,6.009716100498358e-5,0.0010786039790886147,0.525
1516.721007827965,0.0003929480145544757,0.0005309563322323322,4.2193582853605875e-5,8.93758972191841e-5,0.00012840202937244912,7.967914342624281e-5,0.00013763206978582756,8.036314201219516e-5,0.0004298113034103055,0.0002823019648310979,0.0003292034283056935,1.0619146976547897e-5,0.00015849924258722251,0.0008197163451188577,0.00019094695970668532,7.545198275660579e-6,4.058348540821629e-6,4.0876790191728244e-6,1.8428082095915024e-7,0.0001728429224792229,0.0006607196592126454,7.160908739997297e-5,0.001076095178189496,0.525
1517.3206980065856,0.00040814401264378867,0.0005464967103274885,4.4806868325356995e-5,9.463884528993494e-5,0.0001356394989554946,8.441861325151778e-5,0.00014531362630479665,8.513913933637715e-5,0.00044543094823113534,0.0002953861427253528,0.000343361707148563,1.1298942749683631e-5,0.00016716186898084456,0.0008296406693971664,0.00020097071460899784,8.02879289885264e-6,4.3190261277509575e-6,4.350252484061098e-6,1.961657918361235e-7,0.00020007690719172676,0.0006725577812780352,8.30340438935854e-5,0.001073402280091404,0.525
1517.9203881852063,0.00041978052697923566,0.0005580456463513539,4.697343429141543e-5,9.895880513745262e-5,0.00014153152771017758,8.831658950058408e-5,0.00015156392560606655,8.906601413664222e-5,0.0004573082665082782,0.0003056918152898515,0.00035437277638172344,1.1866400647677748e-5,0.00017418112874004044,0.000837246466326942,0.00020904174184232914,8.43239023244893e-6,4.536621806557845e-6,4.5694401461399845e-6,2.0609561676584855e-7,0.00022631784952627124,0.0006805657402063273,9.428121846354329e-5,0.0010705154220347509,0.525
