PS_kd,DAR,k_out,cmax,cavg,time
0.001,8,0.15848931924611134,18.195007866571736,11.22115894252679,504.0
0.001,8,0.251188643150958,12.393672223549238,7.6486805449146615,504.0
0.001,8,0.39810717055349726,8.360110467700355,5.162670013273714,504.0
0.001,8,0.6309573444801932,5.564973195230187,3.4384409264958187,504.0
0.001,8,1.0,3.6546604695391465,2.259041441973326,504.0
0.001,8,1.5848931924611136,2.3722320468374263,1.4668031376784072,504.0
0.001,8,2.51188643150958,1.5259998247542501,0.9437551388091933,504.0
0.001,8,3.9810717055349722,0.9752730299977677,0.6032449964408986,504.0
0.001,8,6.309573444801933,0.6205230875694399,0.38385528504591493,504.0
0.001,8,10.0,0.3936385933071267,0.24352010339727195,504.0
0.001,8,15.848931924611133,0.2492261897895202,0.15418729728886257,504.0
0.001,8,25.118864315095795,0.1575961447890112,0.09750162367720931,504.0
0.001,8,39.810717055349734,0.09957479536271246,0.06160598163139392,504.0
0.001,8,63.09573444801933,0.06288277597855135,0.03890538565980466,504.0
0.001,8,100.0,0.03969843858948445,0.024561468421302086,504.0
0.001,8,158.48931924611142,0.02505683115132484,0.015502754519270585,504.0
0.001,8,251.18864315095797,0.015813302868487006,0.009783775142657831,504.0
0.001,8,398.1071705534973,0.00997891843383604,0.006174020571640694,504.0
0.001,8,630.957344480193,0.006296829020333074,0.0038958924398841454,504.0
0.001,8,1000.0,0.003973252383919427,0.002458280854816623,504.0
0.0031622776601683794,1,0.001,91.52535039967665,65.18753383547634,504.0
0.0031622776601683794,1,0.001584893192461114,74.35886929055019,55.284847977583375,504.0
0.0031622776601683794,1,0.0025118864315095794,58.28593561782307,43.91585590876085,504.0
0.0031622776601683794,1,0.003981071705534973,44.09655378079502,32.50363143061152,504.0
0.0031622776601683794,1,0.00630957344480193,32.24905426617255,22.648988810770557,504.0
0.0031622776601683794,1,0.010000000000000002,22.85425485695819,15.213245309788228,504.0
0.0031622776601683794,1,0.015848931924611134,15.772637904272166,10.078826081736338,504.0
0.0031622776601683794,1,0.025118864315095794,10.69913346743297,6.679352431033323,504.0
0.0031622776601683794,1,0.039810717055349734,7.216059118931658,4.460446211262252,504.0
0.0031622776601683794,1,0.06309573444801933,4.883862544546385,3.0102379072825975,504.0
0.0031622776601683794,1,0.1,3.3273020989190143,2.050382700949607,504.0
0.0031622776601683794,1,0.15848931924611134,2.2742550121525715,1.402214572594455,504.0
0.0031622776601683794,1,0.251188643150958,1.549127417810035,0.9557908149690103,504.0
0.0031622776601683794,1,0.39810717055349726,1.0449586111340625,0.6451346736166899,504.0
0.0031622776601683794,1,0.6309573444801932,0.695585062476769,0.42967230212333496,504.0
0.0031622776601683794,1,1.0,0.4568082274613011,0.2822928179090235,504.0
0.0031622776601683794,1,1.5848931924611136,0.2965134226637689,0.18329362078250078,504.0
0.0031622776601683794,1,2.51188643150958,0.1907398950660881,0.11793284481334752,504.0
0.0031622776601683794,1,3.9810717055349722,0.121902659963655,0.07538225495432573,504.0
0.0031622776601683794,1,6.309573444801933,0.07756125996355494,0.047967036616801205,504.0
0.0031622776601683794,1,10.0,0.04920220263507638,0.03043057531969679,504.0
0.0031622776601683794,1,15.848931924611133,0.031151612266423948,0.019267436055260684,504.0
0.0031622776601683794,1,25.118864315095795,0.019698466816108037,0.012183923683314517,504.0
0.0031622776601683794,1,39.810717055349734,0.012446184913126919,0.007698359689516359,504.0
